,Actor name,Trends score
3368,Pedro Cardoso,6695.138402060107
4261,Rider Strong,6693.942801403548
306,Bebe Neuwirth,6693.775995246584
309,Frank Dillane,6691.362083960884
307,Odeya Rush,6691.362083960884
308,Tom Wright,6691.362083960884
2961,Brian Setzer,6670.5968873996935
3369,Jean Rochefort,6668.40262695145
540,Autumn Reeser,6658.851938542566
541,Greta Scacchi,6658.851938542566
310,Janeane Garofalo,6654.822617583443
200,Robert Baker,6654.111738857502
126,Clea DuVall,6652.607239968425
3813,Will Patton,6650.542268685881
231,Todd Field,6648.889693754555
1926,Jason Beghe,6638.699177679462
143,Elizabeth Miller,6638.05957408061
145,Tony Way,6638.05957408061
144,Chris Colfer,6638.05957408061
232,Kurupt,6636.078730953487
243,Jason Patric,6634.917809233712
242,Aaron Ashmore,6634.917809233712
159,David Castro,6631.610930230862
171,Kate Mulgrew,6619.170616786352
128,Tony Bill,6617.776835570684
127,Mel Blanc,6617.776835570684
2962,Barbara Hershey,6615.239236881853
1594,Dom DeLuise,6603.459877828137
244,Shirley Henderson,6599.246208108801
172,Gustavo Bueno,6597.1499383432565
3814,Jennifer Ehle,6593.086179971532
201,Jessica Parker Kennedy,6584.942178162518
233,Robert Hoffman,6580.117217997919
4262,Timothy Hutton,6579.236822066165
184,Noah Wyle,6577.763607109093
183,Q-Tip,6577.763607109093
146,Michael Tucker,6576.596059505788
173,Nia Vardalos,6576.188989404622
3815,Cara Buono,6564.358135614357
245,Dominique Swain,6563.574606983888
1927,Liam James,6555.973954281587
1928,Christiane Amanpour,6555.973954281587
3370,James Denton,6555.802957828441
185,James Roday,6550.241583648386
1595,Jacob Smith,6546.729122863977
2963,Ken Watanabe,6546.042173734554
542,Linda Fiorentino,6544.700191024693
160,Robin Taylor,6544.686070254945
3371,Jason Davis,6543.291883481442
161,Chris Parks,6535.100999853282
2964,Karen Young,6532.2027611050935
1929,Adrian Paul,6529.685226587175
202,Joe Lando,6529.60652960653
203,Brooke Smith,6529.60652960653
204,Teri Polo,6529.60652960653
246,Robert Sean Leonard,6527.903005858976
1596,Jack Angel,6524.036820878314
186,Jack Holmes,6522.719560187678
1930,Sam Charles,6514.611342582649
4263,Bonnie Hunt,6506.134190709873
4264,Carl Reiner,6506.134190709873
311,Andy Richter,6505.940444359562
312,Amy Hill,6503.5942703803485
313,Patricia Clarkson,6501.249787946902
187,Harmony Korine,6501.20234184567
234,Hugo Chávez,6495.158140141734
247,Matt Cameron,6494.638609555989
1597,Richard Schiff,6489.998367899818
147,Tom Riley,6484.400787643558
174,Rodrigo de la Serna,6482.665774554221
188,Raini Rodriguez,6481.436524996618
205,Tom Conti,6474.270881050542
4265,John Landis,6469.582875031728
206,Stephen Russell,6460.436968911546
1598,Amanda Plummer,6455.959914921322
1258,Derek Jacobi,6444.162290803989
3816,Paul Schneider,6435.081936007073
4267,Micky Dolenz,6433.031559353583
4266,Rick Jones,6433.031559353583
207,Patrick Gibson,6432.769144633552
248,Andrzej Grabowski,6420.888202484238
3817,Anthony Rapp,6420.717913828486
314,Adrian Martinez,6415.931549259935
2965,Will Sasso,6407.648047439954
3818,Tyne Daly,6406.353891649898
235,Christopher Fox,6405.481400534255
208,James Haven,6405.101320355558
4268,Eric Idle,6394.609654336739
249,Michael Parks,6387.58412698089
162,Don Hall,6378.997815311783
2966,Tracey Ullman,6377.694625649855
250,Daniel Sharman,6374.543208896754
3372,Chris Rice,6368.1368426234285
2967,Iain Glen,6366.129809551575
1259,Paul Reiser,6364.40780700691
148,Meghan Black,6361.473758493917
175,Chelsea Smith,6361.280852495975
4269,Bug Hall,6359.928927997292
2409,Tom Cavanagh,6350.969130125456
251,Chuck Close,6349.545000234413
1260,Mackenzie Crook,6348.456910247495
129,Stephen Root,6339.133600388761
236,Lizzy Grant,6328.615623727843
163,Amy Stewart,6328.29400618704
4270,Dieter Rams,6323.377612319147
3373,Michael Rogers,6319.71008044926
3374,Pierfrancesco Favino,6318.092545235426
3375,Esai Morales,6318.092545235426
164,Todd Phillips,6314.506873275956
2968,Corey Stoll,6314.190778838195
189,Aria Giovanni,6302.543372502019
3376,Matt Lanter,6296.793309984264
315,Matthew Morgan,6296.48601509818
209,Ben Gordon,6294.430023243584
4271,Michelle Borth,6286.826296641001
210,Tika Sumpter,6280.596111104586
130,Nancy Allen,6269.47279159328
149,Amelia Henderson,6269.278486631686
905,Ashley Roberts,6265.839146741797
237,Marc Almond,6264.5608097225
3819,Patrick Kennedy,6262.713669864026
165,Maggie Wheeler,6255.740210032369
4272,Joan Allen,6254.995732459051
1261,Crystal Knight,6252.751529691
2969,Sarah Alexander,6251.832648242984
238,Evan Ross,6251.749846921432
316,Larry Day,6249.801056786351
317,Gary Dourdan,6247.547251861437
318,Keshia Knight Pulliam,6247.547251861437
319,Oliver Phelps,6247.547251861437
176,Matt Ross,6246.663179478029
3377,Peter Gunn,6243.0260991534215
211,Timothy West,6239.094374687596
239,Mark Oliver,6238.938884120363
131,Mary Stuart Masterson,6234.64238719554
190,Danny Smith,6233.738313850249
2410,Michael Gross,6229.5025074181385
543,Barbara Windsor,6221.270239724054
240,Eva James,6213.316958518227
320,Jessica Szohr,6211.167776411215
177,Patrick Louis,6210.765885555258
150,Tuva Novotny,6207.814972056865
151,Jack Thompson,6207.814972056865
3820,Toby Stephens,6205.257581149678
544,Edward Fox,6202.244948471075
3821,Liza Weil,6202.178080040899
321,Adam Anderson,6194.10412867382
191,John Francis Daley,6192.455278659188
152,Skandar Keynes,6177.083214769456
2970,Shayne Topp,6175.721682811041
322,Dion Day,6164.421260928613
241,Levon Helm,6162.073107313952
323,Gabrielle Anwar,6159.976833199033
252,Tate Taylor,6153.3511940473945
166,Jerry Trainor,6149.061278342962
2971,Oscar Williams,6144.699207480216
324,Cree Summer,6130.26934258552
545,David Morse,6126.143783459161
192,Robert Pine,6123.650220007421
2972,Milton Berle,6120.33404440018
253,Bruce Greenwood,6117.074989513585
153,Peri Gilpin,6115.619700194636
3822,Richard Benjamin,6104.709425899567
4273,Ann-Margret,6104.069718250275
325,Justin Chatwin,6096.117424242425
212,Rachel True,6086.92134115863
154,Georgie Henley,6084.887942907224
906,Maria Conchita Alonso,6084.459592494008
213,David Ramsey,6080.004385089132
2411,Miranda Richardson,6073.331135365873
242,Nichelle Nichols,6072.396367706474
243,Ally McCoist,6068.524243901648
1931,Jeremy Sisto,6065.006552245199
2973,Aries Spears,6064.946405989319
2974,Cooper Barnes,6061.662731703456
3378,Keith Scott,6055.359983948409
156,Ryan Whitney,6054.156185619815
155,William Moseley,6054.156185619815
907,Debi Mazar,6051.481491721683
546,Vincent Regan,6049.150807919762
244,Melissa Martinez,6046.774442104336
214,Richard Keith,6045.419604741638
3379,Ernie Hudson,6042.848909601407
193,Robert Madrid,6041.084149625296
1932,Temuera Morrison,6038.9413080448685
908,Kimberly Williams,6034.99244133552
194,Paul Lynch,6014.471399364934
326,Victor Anthony,6010.737628384688
3823,Kevin Durand,6004.161270649456
215,Donald Faison,6003.917868324648
909,Peter Boyle,6002.014340563194
910,Radha Mitchell,6002.014340563194
178,David Oyelowo,5996.893340426025
2975,Luca Zingaretti,5995.711857975742
158,Lawrence Jackson,5992.692671044994
157,Nicholas Gonzalez,5992.692671044994
911,Alison Doody,5985.525290177032
179,Brit Marling,5981.797557977184
216,Michael Winslow,5976.250044046655
547,Gulshan Grover,5973.941453435331
195,Jessica Lucas,5972.2790909735295
3824,Oliver Price,5963.082228749951
327,Janel Parrish,5959.5097508700455
132,Gregory Smith,5955.999152013616
133,Martina Stella,5955.999152013616
180,Douglas Henshall,5953.176517029924
181,Robert Altman,5953.176517029924
217,Anne Archer,5948.582219768661
218,Patrick Fabian,5948.582219768661
159,Kevin Dillon,5931.229156470175
328,Katie Leung,5925.35783252695
134,William Daniels,5921.168747615876
2412,Lauren Ambrose,5915.324985092427
245,Morgan Kelly,5911.189090164848
2976,Sarah Lancaster,5909.429192779396
219,Bradley White,5907.08048335167
2413,Aldis Hodge,5906.958239095603
329,Michael Beasley,5906.151227169555
247,Laura Vandervoort,5905.853851292582
246,Kyle Gallner,5905.853851292582
254,Fred Ward,5903.649986173008
196,Sam Moore,5903.474032321759
167,Bill Engvall,5900.89288594347
548,Laura Fraser,5897.840288423415
220,Antonio Gil,5893.246571212674
3380,John Carson,5892.716017437398
330,John Mann,5886.958469400738
197,Ted Levine,5875.9520088610525
1262,Judge Reinhold,5873.761554467282
168,Clarence Gilyard,5873.318620121304
331,Bai Ling,5872.011624700367
912,Jon Kortajarena,5870.1019374738935
182,Molly Parker,5867.313394188147
2416,Edward Herrmann,5865.102639296188
2415,Bone Crusher,5865.102639296188
2414,Ben Cross,5865.102639296188
183,Rob Brown,5853.002873714517
255,Michael Ironside,5850.14258448564
169,Ali Reza,5845.744354299138
2977,Paige Black,5841.813562648514
332,Tony Hale,5839.978036669214
184,Lyndsy Fonseca,5838.692353240887
333,Michelle Fairley,5835.767526188559
249,Hannah Spearritt,5828.988074486171
248,Gregg Sulkin,5828.988074486171
221,Jackson Rathbone,5824.07701051769
1599,Ian Holm,5822.274264897215
222,Reginald VelJohnson,5810.243098378692
3381,Claudia Jordan,5805.138497008392
913,Vincent Gallo,5804.145735929244
3382,Devon Werkheiser,5793.5819556422575
250,María Nieves,5790.555186082966
334,Julie Gonzalo,5786.662618527396
335,Hero Fiennes-Tiffin,5784.576582976378
198,Martin Gruber,5779.624926748576
1933,Mariel Hemingway,5770.084332001775
336,Chris Owen,5769.5928172928025
199,Bill Bellamy,5765.863915018223
3825,Naturi Naughton,5759.972893613473
171,Katherine Waterston,5749.234423921559
170,David Gallagher,5749.234423921559
160,John Fortune,5746.838612745712
257,Andrea Anders,5743.127781110902
256,Jamie Rose,5743.127781110902
185,Lesley-Ann Brandt,5738.518709925481
251,Ted Lewis,5737.10903100094
337,Dirk Benedict,5734.5692453876
338,Sara Jean Underwood,5730.541698474631
1934,Frank Kelly,5728.721720302838
252,Casper Van Dien,5726.500372077624
253,Luis Fernando Peña,5726.500372077624
200,Sommore,5724.580879827161
3826,Della Reese,5716.880827077713
1263,Jewel Staite,5710.421039870863
3827,Paul Carr,5702.516804899125
201,Krystal Davis,5697.058856366454
186,Bernard Hill,5695.587148504592
187,Guy Clark,5695.587148504592
188,Brett Kelly,5695.587148504592
3828,Mike Farrell,5694.846695968811
1264,Kim Dickens,5694.470143111446
2417,Jonathan Pryce,5689.814061907085
258,Chuck D,5689.620379423533
3830,John Michael Higgins,5688.152782720537
3829,Gil Birmingham,5688.152782720537
161,Julin,5685.375098170892
2978,Andre Braugher,5677.232937113289
254,Ute Lemper,5674.997862841599
2418,Aaron Hill,5674.226517898974
202,Sarah Gadon,5669.536832905746
339,Craig Roberts,5667.174009885238
189,Marcus Johnson,5666.966107557331
340,Buck Taylor,5665.131048814623
255,Dante Basco,5662.445558072281
2419,Tim Blake Nelson,5656.874143226501
2420,Alexa Davalos,5656.874143226501
3383,Michael Chiklis,5656.453378936763
259,Holly Valance,5653.948778298621
260,Jake Miller,5653.948778298621
341,Rachelle Lefevre,5650.104208650644
261,Izabella Scorupco,5636.112977736166
4274,Fiona Gubelmann,5633.154051454351
1600,David Andrews,5627.690892444597
256,Jeremy London,5624.012669669075
162,Ryan Alexander,5623.911583596071
203,Daniel Ellsberg,5621.743871410686
172,Steven Adler,5619.593313488951
204,Sam Cooper,5614.49278598433
342,Kirk Jones,5613.940105602444
173,Hillary Scott,5611.36309481073
190,Sean Faris,5609.724025662814
1265,Tamara Taylor,5598.764762554952
174,Colin Hay,5597.575961899646
163,Arnold Vosloo,5593.179826308661
205,Sarah Butler,5586.970762523623
1601,Shohreh Aghdashloo,5582.30628847327
343,Ian Bohen,5581.825003712267
549,John Mahoney,5580.950280990988
344,Johnny Kim,5579.812810127656
223,Danny Johnson,5573.76474506161
262,Alison Pill,5564.769775486339
224,Juelz Santana,5561.232679876748
4275,Mahesh Manjrekar,5559.996206630269
257,Joe Toronto,5559.9578556637325
258,Tate Donovan,5559.9578556637325
914,Harry Dean Stanton,5556.809980136804
3384,William Devane,5554.917010068375
263,Richard Linklater,5548.990680142616
1602,Martin Landau,5548.267835494774
259,Gena Rowlands,5547.146892862664
191,Sheri Moon,5544.629932243113
1935,Bruno Ganz,5542.58996765762
260,Nicholas Worth,5542.103847188591
1603,David Schneider,5536.921684501943
550,Annabeth Gish,5536.3597546168185
164,James Hayes,5531.7163117338405
264,Bill Rogers,5529.098174361428
4277,David Fine,5523.417284218226
4276,Esther Williams,5523.417284218226
225,Jeffrey Carlson,5514.3632109894215
345,Denise Lee,5513.545798773891
261,Brian Bosworth,5508.714004459459
265,Talib Kweli,5507.179957225787
1936,French Stewart,5506.11516347175
226,Kimberly Scott,5505.897031320761
262,Rena Sofer,5502.9307899128735
192,Miles Western,5501.648304861384
1937,Corinna Harfouch,5501.227355958681
266,John Beasley,5497.022061437864
2421,Téa Leoni,5493.357217495148
1266,John Cassavetes,5492.0558222018535
206,Miles Fisher,5490.643680411147
207,Ana Ortiz,5490.643680411147
915,Catherine Keener,5474.364728205991
263,Leo Lee,5470.281116056253
346,Mark McGrath,5462.33639507011
1604,Thomas Haden Church,5457.49862755212
193,Roger Deakins,5452.308300452887
4278,Jack Quinn,5450.2594393941445
551,Joseph May,5441.233298351925
1938,Kevin Alejandro,5439.183438410276
194,Kevin Phillips,5437.997779979258
135,Lance Henriksen,5433.543086047509
175,Virginie Ledoyen,5432.130366966653
3385,Jimmy Wales,5431.196385970256
195,Cheri Oteri,5423.687259505628
227,Saffron Burrows,5422.89355848678
264,Roschdy Zem,5419.03726485198
347,Grey DeLisle,5413.079057380528
1267,Mikael Persbrandt,5407.354001441961
3831,Dominique McElligott,5407.036259698146
3386,Joseph Cross,5404.784117904365
137,Terence Stamp,5398.712681649769
136,Jackie Cooper,5398.712681649769
349,Sean Patrick Flanery,5396.003098208981
348,Victoria Silvstedt,5396.003098208981
265,Jefferson Brown,5393.415339249842
3387,Emmanuelle Vaugier,5392.273043557363
350,Max Parker,5392.112685016328
2979,Ron Hall,5386.447835456267
267,Damian Young,5386.411769861777
268,Clémence Poésy,5386.411769861777
228,Joanne Whalley,5381.391822069789
196,Craig Fairbrass,5380.755698084739
176,Jake Thomas,5376.981835322321
269,Don Tai,5368.575969299322
266,Aya Cash,5367.793413647704
229,Gerald McRaney,5367.557909930792
138,Carmen Maura,5363.882277252029
139,Ronnie Lee,5363.882277252029
351,Gary Wilson,5357.985389541543
270,Bruce Boxleitner,5355.885305980321
197,Ron Canada,5352.13465713748
271,Simon Rex,5350.740168736866
165,Nina Young,5347.325768009379
3832,Michael Learned,5343.416250434444
2980,Alfre Woodard,5342.49853454122
267,Mark Duplass,5342.171488045568
268,Benno Fürmann,5342.171488045568
230,Charles Chu,5339.890085652798
208,Jeff Page,5339.272551377256
198,Daniel Weber,5337.824136663851
1268,Rachael Taylor,5327.599517644883
916,Robert Forster,5325.963274730527
1605,William H. Macy,5321.344815638137
166,Bradley Steven Perry,5316.594010721969
177,Chelsea Field,5315.831512759819
352,LeToya Luckett,5310.623302351243
269,David Lodge,5303.738599642362
178,John Evan,5302.024158181222
231,Zachery Ty Bryan,5298.388349235807
272,Susan Thomas,5297.232767049496
273,Rachel Dratch,5293.308890925756
552,Marisol Nichols,5289.030968328094
168,Rain Phoenix,5285.862253434559
167,Paul Ritter,5285.862253434559
270,Persia White,5278.116674040225
917,Steven Bauer,5276.496123572039
209,Jackie English,5270.467492725486
553,James Purefoy,5270.005677075116
199,Kate Nash,5266.271534295702
1606,Amy Irving,5264.614060673978
179,David Stevens,5260.602094445431
2422,Elena Anaya,5257.769525759599
1939,Jerry Orbach,5257.718990683552
3388,James Parks,5255.99650255186
169,Dave Attell,5255.130496147149
232,Richard Lawson,5245.73162139914
274,Samantha Mathis,5243.725365362127
353,Russell Reynolds,5242.319465665055
354,Thomas Lennon,5240.428979020386
271,Amanda Crew,5239.68378563702
210,Marco Khan,5229.184457534426
918,James O'Brien,5227.028972413551
358,Sienna Guillory,5221.476207642394
357,Courtney Ford,5221.476207642394
356,Jack McBrayer,5221.476207642394
355,Jake Short,5221.476207642394
2423,Lauren Hutton,5221.44522144522
1269,Robert Townsend,5219.347903018482
272,Chris Parnell,5214.061860034883
554,Marc Singer,5212.92980331618
1607,Archie Panjabi,5207.883305709819
4280,Bill Hunter,5194.206982509856
4279,Ray Cooper,5194.206982509856
170,Ross Thomas,5193.666981572328
1940,Miguel Ferrer,5191.007768216651
276,Lucy Punch,5190.21796367476
275,Kathleen Robertson,5190.21796367476
2424,Wotan Wilke Möhring,5188.360027069703
200,Joe Penny,5180.408411453925
3389,Kirk Fox,5179.584779658349
211,Paul Mooney,5174.14041061301
1941,Darsheel Safary,5170.326462367182
919,Elizabeth McGovern,5161.0727708689
180,Peter Billingsley,5154.72599862968
277,Michael Dorn,5154.546362549848
359,Rachel Blanchard,5153.22161669282
140,CCH Pounder,5142.56646176737
212,Mark Carter,5132.85737542195
171,Beanie Sigel,5132.203466997508
3390,Travis Willingham,5129.540482270347
2425,Leslie Easterbrook,5123.24960403456
181,Biagio Izzo,5122.411678669075
233,Alison Becker,5118.547491428847
555,Kathryn Morris,5117.803347051286
201,Jim Nabors,5114.813658425817
3391,Erin Gray,5104.518333576344
1270,Mary-Kate Olsen,5104.286963013061
279,George Wendt,5101.038960862478
278,Molly Price,5101.038960862478
3833,Eddie Marsan,5099.227873398462
214,Martin Grey,5091.574340230888
213,Mark Gatiss,5091.574340230888
1942,Aimee Teegarden,5087.601238969307
141,Diahann Carroll,5085.239042070105
280,Sofia Cameron,5083.203160300021
281,Molly Ephraim,5083.203160300021
3392,Lesley Ann Warren,5080.796619133464
203,Bailey Chase,5080.234768138517
202,Rod Smith,5080.234768138517
215,Lee Ann Womack,5077.813328500534
1608,Evan Jones,5071.729493795837
182,Joaquim de Almeida,5059.877778367415
183,Scott Miles,5059.877778367415
3393,Devendra Banhart,5055.768064359408
3394,Ben Stein,5054.4740361883405
142,Jacob Latimore,5050.408637672364
216,Cameron King,5050.2913050398265
282,Tom Payne,5047.53155917511
1943,William Spencer,5046.23862727037
3835,Carlos Carrasco,5041.771784684112
3834,Treach,5041.771784684112
172,Annie Lee,5040.008195135278
283,Ralph Nader,5029.695758612653
920,Maximilian Schell,5029.160367779599
921,Rae Dawn Chong,5029.160367779599
204,Rachel Hurd-Wood,5028.850403662358
284,John Finn,5025.970058050718
217,Gregory Scott,5022.76928157912
143,Barry Corbin,5015.578233274625
1609,Chris Carmack,5014.998738831678
922,Alex Martinez,5012.671317393437
285,Tuesday Weld,5011.859958050197
173,Laura Benanti,5009.276437847867
175,Anne Reid,5009.276437847867
174,Larisa Oleynik,5009.276437847867
184,Jeff Perry,5004.729246723084
556,Richard Griffiths,5003.651599533413
360,Wes Studi,5001.451761736069
3836,Brenda James,4998.679718148352
205,Wendi McLendon-Covey,4994.371645296739
286,Charlotte Ross,4994.024157487741
185,Susan Williams,4990.942113812001
287,Kristen Johnston,4987.762887574591
273,Stephen Hall,4983.46452961565
176,Nikki DeLoach,4978.544680560457
177,Martin Starr,4978.544680560457
289,Merlin Santana,4976.188356925285
288,Jeffrey Donovan,4976.188356925285
3837,Ian McDiarmid,4969.951673791177
234,Leslie Caron,4966.374457899882
290,Tim Armstrong,4960.191025979573
235,Francesca Neri,4952.540545760885
236,Kiely Williams,4952.540545760885
186,Mike Gordon,4949.580715078752
178,Lil Rob,4947.812923273046
2426,Frances Conroy,4945.426781655068
1610,Lochlyn Munro,4935.575681881855
275,Jason Scott Lee,4932.220678411375
274,Roger Allam,4932.220678411375
557,John Saxon,4927.550434521499
2427,Robyn Lively,4910.722032310121
3838,James Remar,4906.805010773127
276,Lisa France,4906.598752809238
291,James Wong,4904.84515467546
218,Marcus Schenkenberg,4898.920176005935
361,Lukas Haas,4897.266900631919
237,Heidi Fleiss,4897.204897204898
187,Katherine Parkinson,4894.43218343442
3395,Stephen Moore,4893.082458328041
2428,Andrew Keegan,4891.852333712798
292,Tom Tate,4887.009354113004
1271,John Vernon,4880.974408381239
1611,Pooja Kumar,4878.844926917696
188,Roger Craig Smith,4876.736557229781
144,Annabella Sciorra,4876.256615683663
206,Brian Murray,4865.576961034072
923,John Ratzenberger,4864.269863917973
219,Jacob Green,4857.637140814874
207,Vanessa Ferlito,4851.266440560444
924,Doris Roberts,4847.780813531811
1612,Sandra Bernhard,4844.8064739392
362,Taran Killam,4844.272575250837
238,Logan Marshall-Green,4841.869248648909
220,Michaela McManus,4830.115117354168
189,Mary Wall,4825.496518879007
180,Will Carpenter,4824.885894123405
179,Adjoa Andoh,4824.885894123405
4281,Jessy Schram,4824.773669515187
190,Lisa Cash,4822.241650084854
1944,Garry Shandling,4818.744262926214
2981,Don Mac,4817.4197151698645
191,Paul Greene,4811.709385967923
277,Andy Allen,4804.11105040069
558,Steven Weber,4794.373395750647
278,Karyn Parsons,4791.300087599621
221,Joe Taslim,4788.832082163106
1272,Robert Hardy,4785.269027824745
208,Chris Spencer,4779.713838192295
363,Cameron Crowe,4779.544345686345
3396,Lin Shaye,4779.230400554322
2982,William Hope,4777.183812936792
559,Soni Razdan,4775.348104497669
222,Anita Pallenberg,4775.071070432752
239,James Ferguson,4772.699687953926
145,Jeffrey Tambor,4771.765402490441
1613,Chandra West,4767.455980570734
209,Greg Wise,4765.403317718666
2983,Rod Steiger,4763.336903334076
240,Ralph Williams,4758.865775814928
241,Elizabeth Small,4758.865775814928
1945,Alexis Arquette,4756.700345377808
1946,Rory Kinnear,4756.700345377808
279,Tom Bergeron,4752.867199196417
280,Tego Calderón,4752.867199196417
364,Lucas Grabeel,4745.404743217157
242,Tim Campbell,4745.031863675931
3397,Tom Kane,4741.69717751332
1947,Marc Warren,4740.22696404147
243,Kim Raver,4738.00743470293
146,Jill Hennessy,4736.934998092701
192,Jerry Mathers,4735.922620458748
2984,Elaine Hendrix,4735.643084128646
224,Caity Lotz,4733.7880352416905
223,Elizabeth Reaser,4733.7880352416905
181,Rachel Wilson,4732.690622261175
1614,Richard Jenkins,4732.630757220921
193,Allison Miller,4728.986588501426
365,Dean Kelly,4728.334941982564
210,Peter Serafinowicz,4727.979011990251
3839,Polly Walker,4725.763296755194
225,Rebecca Gayheart,4720.027023511337
2429,Carlos Gómez,4719.845910912908
2430,Frank Vincent,4719.845910912908
244,Athena Karkanis,4717.3640393979385
281,Melvil Poupaud,4714.434310793211
366,Victoria Born,4712.964731347085
293,Tim Henry,4707.012207581427
182,Michael Pierce,4701.958864973765
560,Louise Fletcher,4699.2469394857535
211,Angel Sing,4693.850715350518
3398,Troy West,4691.652880125316
294,Conchata Ferrell,4690.815547925985
1273,Adam Garcia,4689.56364726825
194,John Dye,4687.625189768177
214,Jonathan Winters,4679.540194876888
212,Jessica Stone,4679.540194876888
213,Will Estes,4679.540194876888
246,Chris Sarandon,4675.862302980947
245,Jim Sturgess,4675.862302980947
295,Robin Thomas,4672.979747363529
183,Larry Thomas,4671.227107686354
215,James Fleet,4665.229674403257
1274,George Segal,4657.661853749418
1948,Pamela Adlon,4657.4282397787365
2431,Serinda Swan,4643.480140168881
184,Colin Quinn,4640.495350398944
297,Anna Becker,4637.308146238616
296,June Diane Raphael,4637.308146238616
195,George Reynolds,4633.125181797363
196,Andrea James,4632.4766581238455
147,Kym Whitley,4632.443784899479
3399,Tina Majorino,4630.282633200447
3400,Shannyn Sossamon,4630.282633200447
367,Will Kemp,4625.916134574998
298,Kelly Carlson,4619.47234567616
226,Drena De Niro,4619.006799571305
1615,June Lockhart,4617.883454082562
2432,Sophie Okonedo,4615.7316628780645
2985,John Salley,4611.020897704208
368,Danny Miller,4610.5089763178
1616,Diana Bracho,4606.537303089731
561,Conleth Hill,4604.12048322086
247,Diane Neal,4601.954579806444
299,Jeff Anderson,4601.636545113704
282,Dallas Roberts,4599.135645583594
148,Armand Assante,4597.613380501738
227,David DeLuise,4596.177917938153
369,Golden Brooks,4593.4330171462525
248,Sara Foster,4592.858830146966
562,Elsa Zylberstein,4585.095191967881
925,Daniel Wu,4583.956007353208
2433,Frank Langella,4581.026913533116
249,Victor Williams,4579.024918007969
250,Jennifer Hale,4579.024918007969
370,Marsha Thomason,4576.357057974705
1949,Robert Goulet,4570.568592732589
229,Andy Summers,4568.655894477446
228,James Paxton,4568.655894477446
300,Nathan West,4567.657923204211
216,Cory Hardrict,4565.056031087851
563,Adam Arkin,4558.246416461341
3840,Mo Collins,4553.395030612147
251,Jason Marsden,4551.357093729976
185,Emily Alyn Lind,4548.300078536714
283,Aaron Brooks,4547.89179437932
1275,Amelia Warner,4546.005576433508
2434,Matthew Knight,4544.912451889196
3401,Terry Farrell,4542.682691491251
2986,Rubén Blades,4539.327342462861
253,Essence Atkins,4537.523181590978
252,Brad Bird,4537.523181590978
217,Robert Peters,4536.43499014059
1276,Constance Marie,4530.054679674092
231,Luke Kirby,4527.3728592863845
230,Renee Taylor,4527.3728592863845
1617,Ming-Na,4527.114246139908
3841,Sonny Chiba,4524.6669862549725
372,James Faulkner,4521.866650409263
371,DeRay Davis,4521.866650409263
232,Daniel Ross,4513.611847556031
2435,Brett Butler,4511.61741484322
254,Dania Ramirez,4509.855357312986
1952,Janine Lindemulder,4508.524675184183
1950,Lena Endre,4508.524675184183
1951,Matthew Bennett,4508.524675184183
2987,Bill Baker,4497.809104574482
284,Mike Starr,4496.647943175047
285,Rachel Griffiths,4496.647943175047
218,Robert Knepper,4493.503428719703
149,Todd Bridges,4493.122167308517
564,Delroy Lindo,4489.968735702987
186,Malcolm McLaren,4486.836563961892
2988,Liam Cunningham,4485.183872744356
255,Marcus Thomas,4482.187533034991
3402,AnnaLynne McCord,4480.11130455611
3403,Paul Freeman,4478.964616226303
233,Alona Tal,4472.328812364969
286,Christopher Abbott,4471.841739089291
565,Jane Curtin,4470.943444450008
373,David Greene,4470.675707197082
2989,Vanessa Marano,4470.130279315562
301,Frank Fox,4458.950140614054
2990,Barry Pepper,4456.290866686102
187,John Lafayette,4456.1048066744825
188,Sarah Roemer,4456.1048066744825
256,Haylie Duff,4454.519708756997
926,Kelly Stables,4452.0436042639085
566,Andrew Francis,4451.91815319703
1953,John Lloyd Cruz,4446.480757635777
234,Stephen Singer,4444.806788904262
374,Darrell Waltrip,4436.548411722295
219,Atticus Shaffer,4436.261346825184
3842,Nadine Velazquez,4435.660504149457
302,Lark Voorhies,4429.241877063215
4282,Nia Peeples,4426.04961185699
189,Robert Bear,4425.373049387073
150,Sandrine Bonnaire,4423.461358513037
375,Howard Zinn,4419.484763984902
1277,Thilakan,4418.398402358181
220,David Leitch,4407.640305877925
287,Ari Gold,4406.971203567568
303,Lance Gross,4405.442738926686
376,Maria Gonzales,4402.4211162475085
190,Ken Johnson,4394.641292099662
288,James Clayton,4394.160240766499
289,Brian Kelley,4394.160240766499
2436,Michael Cudlitz,4390.150792135903
235,Dick Martin,4389.762741982848
151,Brad William Henke,4388.630954115296
377,Mike Leigh,4388.521507087684
304,Alex Lifeson,4387.606938364229
1954,Honor Blackman,4384.43684008737
290,Lalaine,4381.34927796543
198,Brian Frank,4376.931401415227
197,Dennis Haysbert,4376.931401415227
199,Michael Stefano,4370.521132813271
291,Sharon Lawrence,4368.538315164361
378,Kyle Gass,4368.293820772722
3404,Trevor White,4367.482808072855
1955,Morgan Lily,4363.755534237901
236,Theo Rossi,4362.240718522139
237,Liza Tarbuck,4362.240718522139
379,Kim Coates,4358.690012149438
1278,Frank Welker,4354.594815320517
2437,Michael Vartan,4354.095516886214
305,Josh Stewart,4351.935337239317
380,Nelsan Ellis,4351.230173035328
4283,Andrew Howard,4349.606565699298
4284,Sadie Frost,4349.606565699298
306,Joe Pantoliano,4348.711681433954
257,Andrew Porter,4343.848411645023
