Actor name,Value,Score
Kate Nash,426.4112544873,6.2728
Sam Riegel,426.401960267373,6.2728
Amy Irving,426.277048455249,6.2726
Greg Johnson,426.13150525227,6.2724
David Stevens,425.952198598698,6.2722
Elena Anaya,425.722844840754,6.2719
Jerry Orbach,425.718753003667,6.2719
James Parks,425.579282731333,6.2717
Dave Attell,425.509161987459,6.2716
Vicky Krieps,425.168335434295,6.2711
Ernest James,425.132792020999,6.2711
Larry Clark,424.75785073486,6.2705
Richard Lawson,424.748132871135,6.2705
Adrian Dunbar,424.632657527674,6.2704
Samantha Mathis,424.58568584424,6.2703
Kathy Najimy,424.537602990308,6.2702
Russell Reynolds,424.471849812504,6.2702
Thomas Lennon,424.31877666075,6.2699
Amanda Crew,424.258438175853,6.2699
Martine McCutcheon,423.830476487577,6.2693
Thomas Roy,423.583585904937,6.2689
Marco Khan,423.408305090549,6.2687
Dylan Jones,423.354894671435,6.2686
James O'Brien,423.233774949359,6.2685
Sienna Guillory,422.78416626957,6.2678
Jack McBrayer,422.78416626957,6.2678
Courtney Ford,422.78416626957,6.2678
Jake Short,422.78416626957,6.2678
Lauren Hutton,422.78165730984,6.2678
Robert Townsend,422.611836939664,6.2676
Chris Parnell,422.183824786239,6.267
Mark Brandon,422.15612054752,6.267
Marc Singer,422.092161885375,6.2669
Ricardo Molina,422.077365320405,6.2669
Archie Panjabi,421.68354577793,6.2663
Phil Brown,421.675551734194,6.2663
Connor Cruise,421.43598513386,6.266
Giovanna Mezzogiorno,421.248800042817,6.2657
Lynn Whitfield,421.094052048277,6.2655
Elizabeth Bell,421.094052048277,6.2655
Crazy Legs,420.721534648823,6.265
Bill Hunter,420.576170646494,6.2648
Ray Cooper,420.576170646494,6.2648
Ross Thomas,420.532446642576,6.2647
Miguel Ferrer,420.317129506807,6.2644
Kathleen Robertson,420.253178845829,6.2643
Lucy Punch,420.253178845829,6.2643
Steve Francis,420.248744039161,6.2643
Wotan Wilke Möhring,420.102741278499,6.2641
Alex Carter,419.8184459152,6.2637
Joe Penny,419.45889707718,6.2632
Kirk Fox,419.392207415453,6.2631
Walter Day,419.370620030936,6.2631
Danny Pudi,419.078382547618,6.2627
Paul Mooney,418.951375563279,6.2625
Gus Van Sant,418.763071294097,6.2623
Darsheel Safary,418.642559269728,6.2621
Robert Lucas,418.280864801155,6.2616
Elizabeth McGovern,417.89328567555,6.261
Jon Thomas,417.859483392709,6.261
Peter Billingsley,417.379386022855,6.2603
Michael Dorn,417.364840846889,6.2603
Rachel Blanchard,417.257575860818,6.2602
Fernando Hernandez,416.661916246664,6.2593
Peter Graves,416.593331156559,6.2592
CCH Pounder,416.394825440729,6.259
Barry Sloane,416.29902290424,6.2588
Wade Davis,416.235639074336,6.2587
Jaime Gomez,416.139643770121,6.2586
Abdullah Ibrahim,415.806299080279,6.2581
Mark Carter,415.608678417828,6.2578
Beanie Sigel,415.555731297694,6.2578
Brian Bell,415.422453424382,6.2576
Benjamin Walker,415.422453424382,6.2576
Travis Willingham,415.340108793082,6.2575
Susana Giménez,414.997432136594,6.257
Nick Thompson,414.947636407121,6.2569
Leslie Easterbrook,414.830734891095,6.2568
Biagio Izzo,414.762887875623,6.2567
Juelz Ventura,414.496774217466,6.2563
Alison Becker,414.450003718787,6.2562
Kathryn Morris,414.389750172139,6.2561
Howard Hall,414.229684187231,6.2559
Jim Nabors,414.147674375437,6.2558
Natalie Brown,413.979695028129,6.2556
Spencer List,413.693901398846,6.2552
Tracy Pollan,413.505386578128,6.2549
Taylor Rice,413.505386578128,6.2549
Jim Austin,413.422948377524,6.2548
Erin Gray,413.314059481896,6.2546
Mary-Kate Olsen,413.295325352541,6.2546
George Wendt,413.032333848479,6.2542
Molly Price,413.032333848479,6.2542
Eddie Marsan,412.885689667204,6.254
Teyonah Parris,412.718450311558,6.2538
Tracy Spiridakos,412.427397844993,6.2534
Taylor Hanson,412.427397844993,6.2534
Jason Bonham,412.380587426151,6.2533
John Rocker,412.380587426151,6.2533
Martin Grey,412.265981272376,6.2531
Mark Gatiss,412.265981272376,6.2531
Ginger Gonzaga,412.13538088048,6.2529
Aimee Teegarden,411.944278321413,6.2527
Diahann Carroll,411.753010678533,6.2524
Molly Ephraim,411.588164849008,6.2522
Sofia Cameron,411.588164849008,6.2522
Lesley Ann Warren,411.393306640288,6.2519
Rod Smith,411.347813432042,6.2518
Bailey Chase,411.347813432042,6.2518
Alana de la Garza,411.275721971657,6.2517
Lucy Davis,411.181363795108,6.2516
Lee Ann Womack,411.151748890558,6.2515
Evan Jones,410.659139352363,6.2508
George Murphy,410.345564472443,6.2504
Kenny Young,410.328709308623,6.2504
Carmen Perez,410.21777441302,6.2502
Marla Gibbs,410.207227135055,6.2502
Sarah Allen,409.998262825151,6.2499
Daniel Roberts,409.753959480762,6.2496
Scott Miles,409.699503144707,6.2495
Joaquim de Almeida,409.699503144707,6.2495
Devendra Banhart,409.366738627282,6.249
Lincoln Lewis,409.273329624365,6.2489
Ben Stein,409.261960859524,6.2489
Jaycee Chan,409.127645017758,6.2487
Jacob Latimore,408.932784577995,6.2484
Cameron King,408.923284126925,6.2484
Melissa Smith,408.894120424927,6.2483
Tom Payne,408.699826850068,6.248
William Spencer,408.595137847255,6.2479
Carlos Carrasco,408.233456544193,6.2474
Treach,408.233456544193,6.2474
Annie Lee,408.09065828037,6.2472
Ralph Nader,407.255657850597,6.246
Rae Dawn Chong,407.212307127932,6.2459
Maximilian Schell,407.212307127932,6.2459
Rachel Hurd-Wood,407.187209259883,6.2459
John Finn,406.953986992931,6.2455
Deep Roy,406.847219294062,6.2454
Gregory Scott,406.69481936329,6.2452
John Simm,406.411278368251,6.2448
Nicole Moore,406.205864638809,6.2445
Barry Corbin,406.112558477457,6.2443
Chris Carmack,406.065636675044,6.2443
Alex Martinez,405.87718480948,6.244
John Brennan,405.819602612924,6.2439
Michelle Forbes,405.814017562677,6.2439
Tuesday Weld,405.811488851128,6.2439
Anne Reid,405.602300607929,6.2436
Laura Benanti,405.602300607929,6.2436
Larisa Oleynik,405.602300607929,6.2436
Mehmet Günsür,405.353911590079,6.2432
Jeff Perry,405.234113464655,6.2431
Dylan Smith,405.170327390989,6.243
Richard Griffiths,405.146856116254,6.2429
Wes Studi,404.968734728338,6.2427
Dennis Franz,404.832341657991,6.2425
Brenda James,404.744281701935,6.2424
Wendi McLendon-Covey,404.395456021923,6.2419
Charlotte Ross,404.367319851657,6.2418
Susan Williams,404.117766044642,6.2414
Natalie May,403.996403212997,6.2413
Kristen Johnston,403.860343342572,6.2411
Ivan Martin,403.72234854415,6.2409
B.B. King,403.583807172655,6.2407
Stephen Hall,403.512304279723,6.2406
Nikki DeLoach,403.113942935487,6.24
Martin Starr,403.113942935487,6.24
Arden Cho,402.951950698165,6.2398
Merlin Santana,402.923150852187,6.2397
Jeffrey Donovan,402.923150852187,6.2397
Ian McDiarmid,402.41816514043,6.239
Mireille Enos,402.318626613227,6.2388
Leslie Caron,402.128517121742,6.2386
Sarah Small,402.120676263597,6.2385
Trevor Long,402.083200332773,6.2385
Tim Armstrong,401.627843173389,6.2378
Robert Culp,401.318242347485,6.2374
Kiely Williams,401.008381976557,6.2369
Francesca Neri,401.008381976557,6.2369
Mike Gordon,400.768723784604,6.2366
Lil Rob,400.625585263046,6.2364
Frances Conroy,400.43237881061,6.2361
Harrison Taylor,400.30469008726,6.2359
Kim Houston,399.647061988071,6.2349
Lochlyn Munro,399.634732926796,6.2349
Jason Scott Lee,399.363077500497,6.2345
Roger Allam,399.363077500497,6.2345
John Saxon,398.984926745665,6.234
Brian Tee,398.779141685279,6.2337
Samantha Bond,397.934133726509,6.2324
Robyn Lively,397.622327029483,6.2319
Sara Luna,397.3155607784,6.2315
James Remar,397.305164867113,6.2315
Lisa France,397.288464110884,6.2315
Frank Oliver,397.277476740162,6.2314
James Wong,397.146474854306,6.2312
Marcus Schenkenberg,396.666727926934,6.2305
Alan Ball,396.620819753814,6.2305
Lisa Hartman,396.620819753814,6.2305
Lukas Haas,396.532861827996,6.2303
Heidi Fleiss,396.527841395813,6.2303
Katherine Parkinson,396.303334104553,6.23
Stephen Moore,396.19404654274,6.2298
Andrew Keegan,396.094443061047,6.2297
Tom Tate,395.702305854836,6.2291
Nicole Anderson,395.558336923886,6.2289
Vijay Raaz,395.413573786969,6.2287
Nasim Pedrad,395.39024871024,6.2286
John Vernon,395.213654868368,6.2284
Pooja Kumar,395.041230249477,6.2281
Roger Craig Smith,394.870515056063,6.2279
Annabella Sciorra,394.831654075305,6.2278
Stephanie Smith,394.733285085535,6.2277
Petey Pablo,394.566208566916,6.2274
Anne Dudek,394.554510952797,6.2274
Bryant Johnson,394.41638110258,6.2272
Louis Sachar,394.260106000146,6.227
Brian Murray,393.966919906744,6.2265
John Ratzenberger,393.86108394341,6.2264
Abby Elliott,393.507966202453,6.2258
Jacob Green,393.324030781483,6.2256
Jim Anderson,393.115259337761,6.2252
Jacqueline MacInnes Wood,392.986375724354,6.2251
Vanessa Ferlito,392.808193671724,6.2248
Doris Roberts,392.525961624958,6.2244
Sandra Bernhard,392.285128643085,6.224
Taran Killam,392.241898739729,6.2239
Kelly Craig,392.164180429073,6.2238
Logan Marshall-Green,392.047300815069,6.2236
Jon Scott,391.861530036747,6.2234
Christina Moore,391.669983856641,6.2231
Michael Jefferson,391.494778279598,6.2228
Michaela McManus,391.095566017849,6.2222
Georgia Groome,391.0159054734,6.2221
Mary Wall,390.721597004489,6.2217
Adjoa Andoh,390.672154573281,6.2216
Will Carpenter,390.672154573281,6.2216
Jessy Schram,390.663067720151,6.2216
Roy Thomas,390.64955482568,6.2215
Lisa Cash,390.458049506668,6.2213
Garry Shandling,390.174865239387,6.2208
Don Mac,390.067616293575,6.2207
Ben Walker,389.933418120305,6.2205
Paul Greene,389.605249584475,6.22
Sarah Parish,389.397592903993,6.2197
Sam Phillips,389.246602733701,6.2194
Joshua Taylor,389.238970831564,6.2194
Andy Allen,388.990010552432,6.219
Zach Woods,388.740935917646,6.2187
Tom Morris,388.627519195579,6.2185
David Belle,388.622836428542,6.2185
Derek Long,388.573175456616,6.2184
Paul Wight,388.513575700028,6.2183
Steven Weber,388.201550347134,6.2178
Karyn Parsons,387.952703857625,6.2175
Joe Taslim,387.752868872397,6.2172
Robert Hardy,387.464367518008,6.2167
Chris Spencer,387.014562496626,6.216
Cameron Crowe,387.000838648241,6.216
Lin Shaye,386.975418436481,6.216
William Hope,386.809705751951,6.2157
Bryan Jackson,386.770964958604,6.2157
Soni Razdan,386.661068004486,6.2155
Anita Pallenberg,386.638636490579,6.2155
James Ferguson,386.44662508914,6.2152
Aubrey Graham,386.376919575449,6.2151
Jeffrey Tambor,386.370975773691,6.2151
Chandra West,386.022040859315,6.2145
Greg Wise,385.855836261606,6.2143
Rod Steiger,385.688518199048,6.214
Valerie Harper,385.457650985909,6.2137
Elizabeth Small,385.326489943953,6.2135
Ralph Williams,385.326489943953,6.2135
Rory Kinnear,385.15115452815,6.2132
Alexis Arquette,385.15115452815,6.2132
Lynn Court,385.143338324204,6.2132
Tempest Storm,385.141343736574,6.2132
Tego Calderón,384.840783773206,6.2127
Tom Bergeron,384.840783773206,6.2127
Paul Feig,384.677705025973,6.2125
Tom Joyner,384.468885404706,6.2122
Lucas Grabeel,384.236546943611,6.2118
Tim Campbell,384.206354798767,6.2118
Jack Stanley,384.143320611688,6.2117
Tom Kane,383.936344469702,6.2113
Marc Warren,383.817300936377,6.2112
Pon Yang,383.774558991007,6.2111
Michael Dion,383.703837418313,6.211
Thomas Morris,383.703837418313,6.211
Ravi Patel,383.703837418313,6.211
Kim Raver,383.637585119702,6.2109
Jill Hennessy,383.550749673153,6.2107
Phil McGraw,383.514868319335,6.2107
Jerry Mathers,383.468777216151,6.2106
Elaine Hendrix,383.446143093239,6.2106
Lee Brooks,383.337163135149,6.2104
Caity Lotz,383.295939345128,6.2104
Elizabeth Reaser,383.295939345128,6.2104
Rachel Wilson,383.207081555957,6.2102
Richard Jenkins,383.202234269456,6.2102
Allison Miller,382.907165064399,6.2098
Dean Kelly,382.854401091295,6.2097
Alice Lo,382.83102304052,6.2096
Peter Serafinowicz,382.825581355446,6.2096
Polly Walker,382.646174367633,6.2094
Rebecca Gayheart,382.181706963311,6.2086
Carlos Gómez,382.167042233284,6.2086
Frank Vincent,382.167042233284,6.2086
Tom Fisher,382.074320695361,6.2085
Tye Sheridan,382.046275364858,6.2084
Athena Karkanis,381.966084508396,6.2083
Jane Singer,381.940089892776,6.2083
Melvil Poupaud,381.728863688787,6.2079
Victoria Born,381.609871492674,6.2078
Tim Henry,381.127894232339,6.207
Diane Farr,380.901299803593,6.2067
Michael Pierce,380.718723883516,6.2064
Louise Fletcher,380.499138633896,6.206
Johnny Yong Bosch,380.168713110845,6.2055
Angel Sing,380.062205086506,6.2054
Troy West,379.884245847331,6.2051
Conchata Ferrell,379.816446860664,6.205
Adam Garcia,379.715080167647,6.2048
John Dye,379.55812280436,6.2046
Sheila Hancock,379.547738108783,6.2046
Jessica Clark,379.547738108783,6.2046
David Willis,379.309983483039,6.2042
Chris Brand,379.125473662889,6.2039
Adam Cooper,379.125473662889,6.2039
Jessica Stone,378.903478851487,6.2036
Will Estes,378.903478851487,6.2036
Jonathan Winters,378.903478851487,6.2036
Kim Knight,378.678663745988,6.2032
Richard Norton,378.630786295509,6.2031
Chris Sarandon,378.605679072838,6.2031
Jim Sturgess,378.605679072838,6.2031
Xavier Samuel,378.554887298269,6.203
Peter Jennings,378.414579116831,6.2028
Robin Thomas,378.372277861194,6.2027
Larry Thomas,378.230366211074,6.2025
Danny Pino,378.122496219336,6.2023
David Schultz,377.927409274929,6.202
James Fleet,377.744752616467,6.2017
Peter Dennis,377.631431135284,6.2016
George Segal,377.131984384194,6.2008
Pamela Adlon,377.113068605611,6.2008
Jeff Clark,376.921110163393,6.2005
Keb' Mo',376.694366826828,6.2001
Serinda Swan,375.983687673841,6.199
Ben Falcone,375.839043979567,6.1988
Juanita Bynum,375.839043979567,6.1988
Laura Lane,375.786201287443,6.1987
Colin Quinn,375.742008538633,6.1986
Meltem Cumbul,375.627030555704,6.1984
Anna Becker,375.483939862253,6.1982
June Diane Raphael,375.483939862253,6.1982
Mike Colter,375.404694149556,6.1981
Tommy the Clown,375.393211425289,6.1981
Traylor Howard,375.15767708217,6.1977
George Reynolds,375.145244239884,6.1977
Andrea James,375.092733124309,6.1976
Kym Whitley,375.09007137154,6.1976
Kirsten Vangsness,375.031105102673,6.1975
Emily Jordan,374.939028949366,6.1973
Tina Majorino,374.915082406174,6.1973
Shannyn Sossamon,374.915082406174,6.1973
Brian Littrell,374.630178849521,6.1969
Will Kemp,374.561525977405,6.1967
Bettina Zimmermann,374.451890357298,6.1966
Joseph Wilson,374.390425745319,6.1965
Daniel Logan,374.390425745319,6.1965
Ryan Hopkins,374.110586445126,6.196
Kelly Carlson,374.039770862783,6.1959
Drena De Niro,374.002075484317,6.1959
June Lockhart,373.911117933807,6.1957
Sophie Okonedo,373.736886889903,6.1954
Chris Reed,373.691392299684,6.1954
Graham Wardle,373.637825231656,6.1953
Clifford David,373.545353603715,6.1951
John Salley,373.355455117101,6.1948
Justin Edwards,373.322878076413,6.1948
Danny Miller,373.314004721094,6.1948
Takeshi Kitano,373.268968549617,6.1947
Diana Bracho,372.992417398343,6.1943
Conleth Hill,372.79672692066,6.1939
Diane Neal,372.621353207773,6.1937
Jeff Anderson,372.595601863312,6.1936
Dallas Roberts,372.393103435528,6.1933
Kamaal Khan,372.367352683555,6.1933
Armand Assante,372.269845271002,6.1931
Phil Lewis,372.182091477768,6.193
Dichen Lachman,372.156709166526,6.1929
David DeLuise,372.153615526955,6.1929
Golden Brooks,371.931360259164,6.1926
Sara Foster,371.884868201723,6.1925
Elsa Zylberstein,371.256244578012,6.1915
Daniel Wu,371.164004529722,6.1914
Jared Keeso,371.101654114468,6.1913
Frank Langella,370.926835108776,6.191
Jennifer Hale,370.764733056537,6.1907
Victor Williams,370.764733056537,6.1907
Douglas Booth,370.637051278903,6.1905
Marsha Thomason,370.548715797235,6.1904
Rick Kelly,370.252854376704,6.1899
Robert Goulet,370.08002239444,6.1896
James Paxton,369.925150763321,6.1894
Andy Summers,369.925150763321,6.1894
Nathan West,369.844344792761,6.1892
Lee Cole,369.66250508537,6.189
Cory Hardrict,369.633668971328,6.1889
Angie Cepeda,369.379420292148,6.1885
Cheryl Tiegs,369.225133403467,6.1882
Alexandre Borges,369.095823303402,6.188
Jesse Johnson,369.095699227363,6.188
Adam Arkin,369.082292860819,6.188
Mo Collins,368.689474998602,6.1874
Jason Marsden,368.524462766165,6.1871
Emily Alyn Lind,368.276935521309,6.1867
Aaron Brooks,368.243876656302,6.1867
Amelia Warner,368.091149142107,6.1864
Matthew Knight,368.002638588632,6.1863
Terry Farrell,367.822094360652,6.186
Rubén Blades,367.550410954446,6.1856
Essence Atkins,367.404327620979,6.1853
Brad Bird,367.404327620979,6.1853
Robert Peters,367.316216501288,6.1852
Deana Carter,367.29657786802,6.1851
Tom Heaton,367.071255368183,6.1848
Constance Marie,366.79960125038,6.1843
Renee Taylor,366.58245361787,6.184
Luke Kirby,366.58245361787,6.184
Ming-Na,366.561513650096,6.184
Tom Harvey,366.411614406752,6.1837
Sonny Chiba,366.363358437096,6.1836
Tony Randall,366.221649613684,6.1834
James Faulkner,366.136614579857,6.1833
DeRay Davis,366.136614579857,6.1833
Tom Araya,365.550627418808,6.1823
Daniel Ross,365.468221236052,6.1822
Brett Butler,365.306731546521,6.1819
Dania Ramirez,365.164057330607,6.1817
Staci Keanan,365.101284409141,6.1816
Pigeon John,365.101284409141,6.1816
Matthew Bennett,365.056311683203,6.1815
Lena Endre,365.056311683203,6.1815
Janine Lindemulder,365.056311683203,6.1815
Sinqua Walls,364.641509989328,6.1808
Colin Mochrie,364.47636437792,6.1806
Chen Hong,364.25240433406,6.1802
Bill Baker,364.188669390839,6.1801
Mike Starr,364.094649877077,6.18
Rachel Griffiths,364.094649877077,6.18
Robert Knepper,363.840037796228,6.1795
Paul Benedict,363.824842543394,6.1795
Todd Bridges,363.809166969388,6.1795
Paul Nicholls,363.794170167635,6.1795
Delroy Lindo,363.553832864776,6.1791
Kristofer Hivju,363.480509526534,6.179
Rick Salomon,363.480509526534,6.179
Malcolm McLaren,363.300220176426,6.1787
Laurent Alexandre,363.17097409403,6.1784
Liam Cunningham,363.166401376777,6.1784
Zeb Atlas,363.009222066708,6.1782
Peter Kent,363.000911881563,6.1782
Marcus Thomas,362.923787040235,6.178
AnnaLynne McCord,362.755674328136,6.1778
Kevin Collins,362.719297520134,6.1777
Paul Freeman,362.662826702252,6.1776
Tony Armstrong,362.334639494303,6.1771
Chris Richmond,362.278750049777,6.177
Alona Tal,362.125524090601,6.1767
Christopher Abbott,362.086085652009,6.1767
Jane Curtin,362.013350522129,6.1766
David Greene,361.991671773292,6.1765
Vanessa Marano,361.947508348434,6.1764
Tom Cox,361.879308060326,6.1763
Phil Davis,361.718749797016,6.1761
Frank Fox,361.042249867551,6.175
Bill O'Reilly,360.937758898523,6.1748
Kevin Market,360.901815474025,6.1747
Barry Pepper,360.826927827231,6.1746
John Lafayette,360.811862503985,6.1746
Sarah Roemer,360.811862503985,6.1746
Haylie Duff,360.683516749864,6.1744
Barbara Williams,360.61845827042,6.1743
Sophie Winkleman,360.522857532004,6.1741
Kelly Stables,360.483025982104,6.174
Andrew Francis,360.472868179481,6.174
Heather North,360.331014834456,6.1738
John Lloyd Cruz,360.032600971967,6.1733
Stephen Singer,359.897059326966,6.1731
Cole Williams,359.664441185048,6.1727
Dixie Carter,359.664441185048,6.1727
Jessica Schwarz,359.565216672133,6.1725
John Cannon,359.551594156339,6.1725
Darrell Waltrip,359.228376568916,6.172
Atticus Shaffer,359.205132856149,6.1719
Tim Russell,359.168456158825,6.1719
Nadine Velazquez,359.156482482268,6.1718
Paul Marco,358.710424099677,6.1711
Linda Johnson,358.657830540501,6.171
Lark Voorhies,358.636764725577,6.171
Nehir Erdoğan,358.383279619134,6.1706
Nia Peeples,358.37828625511,6.1706
Robert Bear,358.323504831544,6.1705
Paul Pape,358.262838174752,6.1704
Sandrine Bonnaire,358.168714768312,6.1702
Christian Andreas,358.036492997301,6.17
Pete Jones,358.023071638513,6.17
Marshall Johnson,357.878057559319,6.1697
Howard Zinn,357.846728966728,6.1697
Thilakan,357.758766008293,6.1695
Rochelle Aytes,357.399153419126,6.1689
Gina Marie,357.059969904731,6.1684
David Leitch,356.88768038611,6.1681
John Hartford,356.881620357452,6.1681
Ari Gold,356.833503013431,6.168
Gedeon Burkhard,356.802389928934,6.1679
Lauren Sánchez,356.755513777821,6.1679
Lance Gross,356.709742869141,6.1678
Tim Healy,356.510178860618,6.1674
Maria Gonzales,356.46508136454,6.1674
Nick Harvey,356.435544403813,6.1673
Sam Alexander,356.411135824132,6.1673
Cassidy Freeman,356.348618304401,6.1672
Derek Jackson,356.348618304401,6.1672
Ken Johnson,355.835147159103,6.1663
Brian Kelley,355.796196318625,6.1663
James Clayton,355.796196318625,6.1663
Jennifer Gates,355.629850679427,6.166
Michael Cudlitz,355.471550312576,6.1657
Dick Martin,355.440129799697,6.1657
Brad William Henke,355.348488667775,6.1655
Mike Leigh,355.339626716004,6.1655
Alex Lifeson,355.26557386967,6.1654
Honor Blackman,355.00889026073,6.1649
Richard Side,354.972129866561,6.1649
Lalaine,354.758889623818,6.1645
Dennis Haysbert,354.401173112303,6.1639
Brian Frank,354.401173112303,6.1639
Michael Stefano,353.882132144065,6.163
Charice Pempengco,353.794027331856,6.1629
Sharon Lawrence,353.721582929011,6.1628
Kyle Gass,353.701786160164,6.1627
Trevor White,353.636118269608,6.1626
Iza Calzado,353.490206927628,6.1624
Robbie Jones,353.490206927628,6.1624
Morgan Lily,353.334320023651,6.1621
Utkarsh Ambudkar,353.288701340793,6.162
Liza Tarbuck,353.211665036063,6.1619
Theo Rossi,353.211665036063,6.1619
Kim Coates,352.92416349938,6.1614
Scott Lawrence,352.612143603674,6.1609
Frank Welker,352.592574441387,6.1609
Michael Vartan,352.552146128803,6.1608
Josh Stewart,352.37723587073,6.1605
Nelsan Ellis,352.320138557976,6.1604
Andrew Howard,352.188674687106,6.1602
Sadie Frost,352.188674687106,6.1602
Joe Pantoliano,352.11621569601,6.1601
Andrew Porter,351.722435588376,6.1594
Patrick McGoohan,351.503488335455,6.159
Danny Murphy,351.315446273305,6.1587
Robert Iler,351.191693330214,6.1585
Bruce Wilson,351.14104966091,6.1584
Warren Ellis,351.078287416705,6.1583
Roger Rose,351.078287416705,6.1583
Estella Warren,351.065046488047,6.1583
Angela Little,351.052173592865,6.1583
Damon Williams,351.042105243416,6.1582
Garrett Morris,351.028912506472,6.1582
Brandon Hunter,350.949550774237,6.1581
Michael Dudikoff,350.94360454721,6.1581
Danielle Nicolet,350.596266250098,6.1575
Craig Parker,350.480674649937,6.1573
Manolo García,350.10297412813,6.1566
Chad Everett,350.067223820968,6.1566
Cindy Busby,350.024904011745,6.1565
Yan Hai,349.998173723151,6.1565
Jessica Hecht,349.851446750322,6.1562
Ji Wang,349.708036466699,6.156
DJ Clue,349.678991758596,6.1559
Dylan Sprayberry,349.678991758596,6.1559
Richard Grieco,349.492874199199,6.1556
Steve Warren,349.095066529167,6.1549
Erin Kelly,349.004858247114,6.1548
Aneurin Barnard,348.717930766207,6.1543
Jack Riley,348.684859750456,6.1542
Brenda Strong,348.594909963511,6.1541
Jessica Collins,348.549753734321,6.154
Anthony LaPaglia,348.466925116033,6.1539
Grant Roberts,348.370074141779,6.1537
John Webb,348.370074141779,6.1537
Chris Sanders,348.370074141779,6.1537
Clark Gregg,348.310609312414,6.1536
Anna Shaffer,348.300754783417,6.1536
Gary Owens,348.21623616059,6.1534
Amanda Ryan,348.044728872319,6.1531
Matthew Wolf,348.044728872319,6.1531
Fabiana Udenio,348.041123785834,6.1531
Jeremy George,347.919572141085,6.1529
Steve Marvel,347.752116738606,6.1526
Jordan Cook,347.640503126976,6.1524
Ashton Holmes,347.497742760173,6.1522
Maureen Lipman,347.3799615728,6.152
Tara Sharma,347.32669584661,6.1519
Charles Sanders,347.184047623988,6.1517
Michael Caleb,347.043759944425,6.1514
Austin Stowell,346.948893280129,6.1512
Michael Graves,346.9158524202,6.1512
Lori Singer,346.88781036616,6.1511
Nicole Sullivan,346.729073243214,6.1509
Mary McCormack,346.5913676643,6.1506
Robert Klein,346.459144270931,6.1504
Colleen Camp,346.259381051597,6.1501
David Denis,346.121759862447,6.1498
Rahul Khanna,345.79668047913,6.1493
Iris Apatow,345.772464859944,6.1492
Antonio Biaggi,345.70310073916,6.1491
Breckin Meyer,345.661115482494,6.149
Dave Evans,345.582353896624,6.1489
Robert Loggia,345.431401334426,6.1486
Jackie Evancho,345.300418035911,6.1484
John Churchill,345.156390873379,6.1482
Bill Bradley,345.001624717261,6.1479
John Slattery,344.961468838257,6.1478
Michelle Kwan,344.951352783963,6.1478
Josh Meyers,344.900719472732,6.1477
Haley Pullos,344.605874225278,6.1472
Caio Junqueira,344.468889453155,6.147
Gina Lynn,344.385822675754,6.1468
Troy Hall,344.361488056432,6.1468
Heather Matarazzo,344.278471020565,6.1466
Emma Bell,344.141691800891,6.1464
Roxanne Pallett,344.140525600839,6.1464
Joss Ackland,344.067584265623,6.1463
Gretchen Mol,344.067584265623,6.1463
Sydney Pollack,344.067584265623,6.1463
Christian Coulson,343.83500536395,6.1459
Robert Madison,343.712221873909,6.1456
Frank Wood,343.712221873909,6.1456
Rutina Wesley,343.569266161924,6.1454
Bill Wright,343.415658560734,6.1451
Carrie Ann Inaba,343.393358796896,6.1451
Christian Oliver,343.348515980947,6.145
Matt Russell,343.309801125852,6.1449
Magnús Scheving,343.183573599708,6.1447
Benedict Wong,343.018285694995,6.1444
Robert Peterson,342.982965565872,6.1444
Luke Benward,342.982965565872,6.1444
Teach Grant,342.77494687333,6.144
Paul Ward,342.761354426889,6.144
Sarah Clarke,342.718657943937,6.1439
Steve Robinson,342.648605342659,6.1438
John Dixon,342.550442941377,6.1436
Don Wood,342.31120928614,6.1432
Benjamin Jones,342.015308251442,6.1427
Marta Martin,341.777058966787,6.1423
Brady Allen,341.555174244515,6.1419
Rob Knox,341.513182096705,6.1418
Chloë Sevigny,341.421291406941,6.1417
Mike Parker,341.365198781477,6.1416
Rex Smith,341.315424339838,6.1415
Jack Klugman,341.303475516259,6.1414
Taylor Hayes,341.273902591334,6.1414
John Shea,341.247358165085,6.1413
Nancy Cartwright,341.218483677378,6.1413
Bob Costas,340.983280063429,6.1409
Jennifer Rubin,340.950255355826,6.1408
Faizon Love,340.837898657107,6.1406
Betsy Brandt,340.584099477618,6.1402
Travis Van Winkle,340.485963103912,6.14
Jack Randall,340.326125540782,6.1397
Alex Reid,340.21788711119,6.1395
Thomas Middleditch,340.14831892794,6.1394
Derek Lee,340.14831892794,6.1394
Carrie-Anne Moss,340.016265516377,6.1392
Mia Blake,339.831309522674,6.1389
Jonathan Harris,339.692207481758,6.1386
David Koechner,339.67709552412,6.1386
Elizabeth Tan,339.388758987024,6.1381
Freddie Fox,339.388758987024,6.1381
Peter Sohn,339.379714875498,6.1381
Oded Fehr,339.199289201721,6.1377
Marcus Patrick,339.199289201721,6.1377
Alexandra Billings,338.921296839729,6.1373
Colin Salmon,338.906115382418,6.1372
Jon Seda,338.906115382418,6.1372
Joseph Kelly,338.905927465921,6.1372
Denise Crosby,338.829242674001,6.1371
Damon Dash,338.427132064547,6.1364
Adam Duritz,338.403876865067,6.1363
Ryan Turner,338.348060625792,6.1362
Rafe Spall,338.26318788994,6.1361
Junior Case,338.25513958161,6.1361
Monica Raymund,338.253268263886,6.1361
Ruben Paul,337.975420934685,6.1356
